NOTICE_TYPE_CONFIG_ID,CIRC_POLICY_ID,NOTICE_TYPE 
1112,"CO-SEMESTER-FIXED-DIV","NO-PS-STDLOAN"
1113,"CO-SEMESTER-FIXED-LAW-CARREL","NO-LAW-ALL"
1114,"CO-SEMESTER-FIXED-UNCGFS-PS","NO-PS-STDLOAN"
1115,"RN-1DAY-DIV-BDPER","NO-PS-STDLOAN"
1116,"RN-1DAY-MARINE","NO-PS-STDLOAN"
1117,"RN-1WK-LSC","NO-PS-STDLOAN"
1118,"RN-1WK-LSC-MATHJOURN","NO-PS-STDLOAN"
1119,"RN-1WK-LSC-MICROFORM","NO-PS-STDLOAN"
1120,"RN-1WK-MARINE-AV","NO-PS-STDLOAN"
1121,"RN-1WK-MARINE-AV-MAX-1","NO-PS-STDLOAN"
1122,"RN-1WK-MUSIC","NO-PS-STDLOAN"
1123,"RN-1WK-MUSIC-SOUNDREC-AV-COMPMEDIA","NO-PS-STDLOAN"
1124,"RN-24HR-LAW","NO-LAW-ALL"
1125,"RN-28-DAYS-10-MAX-DIV","NO-PS-STDLOAN"
1126,"RN-28-DAYS-25-MAX-DIV","NO-PS-STDLOAN"
1127,"RN-28-DAYS-DIV","NO-PS-STDLOAN"
1128,"RN-28-DAYS-FORD","NO-FORD-STDLOAN"
1129,"RN-28-DAYS-FORD-10-MAX","NO-FORD-STDLOAN"
1130,"RN-28-DAYS-FORD-10-MAX","NO-FORD-STDLOAN"
1131,"RN-28-DAYS-LAW","NO-LAW-ALL"
1132,"RN-28-DAYS-LSC-COMPMEDIA","NO-LAW-ALL"
1133,"RN-28-DAYS-MARINE","NO-PS-STDLOAN"
1134,"RN-28-DAYS-MUSIC-SOUNDCD","NO-PS-STDLOAN"
1135,"RN-28-DAYS-MUSIC-SOUNDCD","NO-PS-STDLOAN"
1136,"RN-2WK-FORD","NO-FORD-4WK"
1137,"RN-3DAY-LAW","NO-LAW-ALL"
1138,"RN-3DAY-LILLY-FILM-LD","LILLY-FILM-LIMITEDCIRC"
1139,"RN-3DAY-LILLY-LSC-AV","NO-LILLY-AV-STDNT3DAY"
