LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
"220","E865ADBA-2EBE-4039-A426-0BD19FA141FE",1,"LRA1","Rare Books, Level 1","5","15"
"221","AB642DE0-3C50-400A-AFA4-7C351EDDDEC4",1,"LRA1O","Rare Books, Level 1 Oversize","5","15"
"222","F98CA828-8D2C-496C-A8FB-C645E0625113",1,"LRARE","Rare Books","5","15"
"223","39164550-69CD-4B17-9F75-6766F69FEDF5",1,"LRARO","Rare Books, Oversize","5","15"
"224","D073A658-F6E2-45E7-8E13-8E2596A88B2A",1,"LRECB","Records & Briefs","5","15"
"225","E813BA5F-921E-4276-8EFC-4041F89DC74F",1,"LREF","Reference","5","15"
"226","6A86C4B5-25F4-44FD-BD1C-1ABAC55086CD",1,"LREFD","Reference Documents","5","15"
"227","85E2B3E5-06A1-4138-9797-A7BF3E4C1E46",1,"LREFO","Reference Desk","5","15"
"228","1B1CE5F6-D5E7-4D13-A24D-F5B20EB69280",1,"LREPI","Regional Reporters (Level 1)","5","15"
"229","9F2BE25E-126F-42DC-9A35-982BE9A973F4",1,"LREPT","Regional Reporters","5","15"
"23","7f80d289-5d18-4482-bb6c-f9ec3c8613f1",1,"RUBENSTEIN","Rubenstein Library","3","1"
"230","E9BF2FF9-D0AC-425F-91C4-D1E609A2447C",1,"LRIDC","Riddick Congressional","5","15"
"231","350983A9-B9CF-459C-A3CA-B4A277A5B218",1,"LRIDD","Riddick","5","15"
"232","076722B4-F79D-4267-82A0-92BCEB56FE57",1,"LRIDP","Riddick Parliamentary","5","15"
"233","F3A91B70-E022-4E85-9944-A90BB642867A",1,"LRIDS","Riddick Senatorial","5","15"
"234","57C47A33-1965-4291-A057-4E47E15CBDA2",1,"LROUJ","Routed Journals","5","15"
"235","0D8603CF-6E79-426A-930C-92A9A1EE4A9F",1,"LSCO","State Codes","5","15"
"236","8EC370B2-1967-4FF6-B5A9-F2F5679DF091",1,"LSCOI","State Codes (Level 3)","5","15"
"237","484935D0-270E-4267-8902-BDD54D7CA891",1,"LSJD","S.J.D. Theses","5","15"
"238","2C6E8EA0-3751-4001-A297-31BFB34565BD",1,"LSSCO","Superseded Codes","5","15"
"239","4EFBE07D-E98F-4424-8DCB-245EB1854013",1,"LSSLO","Superseded Looseleaf","5","15"
"24","ed33aefe-3694-45fc-8ee7-7f508504057b",1,"UARCHIVES","University Archives","3","1"
"240","9C45CD36-5CCF-4C6C-AB76-7974652187A9",1,"LSSRF","Superseded Reference","5","15"
"241","71EE2B74-D7FF-4E6E-A6FD-D5B89CF02C07",1,"LSSTX","Superseded Tax","5","15"
"242","FB89089C-7527-4BCC-AD67-476D790FD2F2",1,"LTAX","Tax Collection","5","15"
"243","F309FD95-DBD3-4DAE-99D9-F6E6621B2864",1,"LGEN1","Law Library, Level 1","5","15"
"244","8D3CD6D9-B317-4F9E-99B8-6E0CF2FF8488",1,"LGEN3","Law Library, Level 3","5","15"
"245","868C6DC5-BAFC-4C06-AABF-A1B46EC610B6",1,"LTHES","Thesis","5","15"
"246","16FEFA96-B4BE-48A0-AD01-E76CDE6DCFB3",1,"LUNCL","Unclassified Collection","5","15"
"247","6E27244D-38C3-43D9-BF97-DB68681E4C07",1,"LARCI","Archives (III)","5","15"
"248","292C0409-78BF-44AB-87A9-D1E314D1D610",1,"LCDLI","CD-ROM Level 1 Workstation (III)","5","15"
"249","BEB95751-4BF5-4275-80EC-28E637DA0479",1,"LCHII","Christie Collection (III)","5","15"
"250","AE6E2C61-EE55-4767-8D7F-5C735E0491FF",1,"LDOCI","Documents (III)","5","15"
"251","0964E952-A816-43C7-BFC7-B06516F13051",1,"LFACI","Faculty Collection (III)","5","15"
"252","9A49C58F-70D9-4F62-8562-3171F3FEF74C",1,"LFDAI","Federal Alcove (III)","5","15"
"253","931F8F67-4C26-4B7F-946D-FFED1C7E220D",1,"LGENI","General (III)","5","15"
"254","C56ABAEC-9A5A-410F-A9C1-8A90D8239100",1,"LINDI","Reference Indexes (III)","5","15"
"255","ED4AD197-D44D-4018-B770-D08A54C44635",1,"LLFI","Looseleaf (III)","5","15"
"256","3FBDD7B5-B080-4B2C-8268-B4C9E1FB6D80",1,"LLRDI","Leisure Reading (III)","5","15"
"257","7A06AD07-498F-4EED-9058-C8203F788498",1,"LMICI","Microform (III)","5","15"
"258","78CF0250-C2BC-483A-A0A5-7CAC2A88BD6C",1,"LNCAI","NC Alcove (III)","5","15"
"259","CAAF0E79-3AA4-4686-A3F0-847074B5D9B7",1,"LPERI","Periodicals (III)","5","15"
"260","9A25BDC1-B345-4166-8D01-EDA0DC2081DF",1,"LPRAI","Practice & Procedure (III)","5","15"
"261","CFE2912F-E6CB-4F12-BF3C-F7C6A3F1B138",1,"LPROI","Professional Collection (III)","5","15"
"262","E28E5FC2-483C-4FB4-9A37-6FF8326C11EE",1,"LRARI","Rare Books (III)","5","15"
"263","0FC6F14B-EA0B-4C62-89B3-EC2462CE7257",1,"LREFI","Reference (III)","5","15"
"264","CD2A0038-D9C8-4211-9F51-73B8CA379CF3",1,"LRFDI","Reference Documents (III)","5","15"
"265","465C54DF-46E1-4A69-895B-BB1857DB5D96",1,"LRFOI","Reference Desk (III)","5","15"
"266","81AC3286-C175-4891-AA09-9AB6E91A68D3",1,"LRIDI","Riddick (III)","5","15"
"267","ABED23C5-FE9F-47E0-902F-524664EE31F4",1,"LSSLI","Superseded Looseleaf (III)","5","15"
"268","40A1E8D1-538B-4A5C-BECE-1DAE584A14FF",1,"LSSRI","Superseded Reference (III)","5","15"
"269","73556648-9123-44C2-9EB5-D3D99174D4B4",1,"LSSTI","Superseded Tax (III)","5","15"
"270","42A7643B-1603-4F80-911B-45A280937DF3",1,"LTAXI","Tax Collection (III)","5","15"
"271","86861ADC-AAFB-4799-B59D-C9CF111BA3C5",1,"LUNCI","Unclassified Collection (III)","5","15"
"272","14AEA4B0-D661-4B6F-BE61-C7F8169FF544",1,"PL2","Thomas Room","5","16"
"273","A00B32CE-4505-4B74-B005-349A310EF6D7",1,"PL2F","Thomas Room","5","16"
"274","A452BAD9-BCF7-4325-969C-942D8BA67FFA",1,"PL3","Stacks","5","16"
"275","F5916F9E-0782-4085-9E74-7392EECA1DBC",1,"PL8","Loeb Classics","5","16"
"276","41AD3829-C263-43AA-B9C8-8AA20FE4EECC",1,"PLA","ADF Archives","5","16"
"277","C0F99F97-3C23-4597-BFD0-1622DF347D2F",1,"PLAV","ADF Video","5","16"
"278","7AC71BC8-B76F-46C2-825F-9C99485C0EEE",1,"PLC","Stacks CD-ROM","5","16"
"279","28AA296E-5F6B-4A7B-811C-FC56EDD28CCE",1,"PLD","Room 113","5","16"
"280","7EFEE0E4-E767-4750-99E9-01179F779FD6",1,"PLH","Pamphlet Collection","5","16"
"281","43D5B747-858B-4AA2-9705-CB095EDE0E1F",1,"PLI","Stacks","5","16"
"282","A5689ED6-5B12-4F8B-B955-63ACA8F9D85B",1,"PLIF","Stacks Oversize","5","16"
"283","BA7679FB-D38B-478E-8EE6-A4D49CEF7ED0",1,"PLK1","Ebook Reader","5","16"
"284","5B618A99-B33E-48E5-AAD4-131046567889",1,"PLK2","Ebook Reader","5","16"
"285","09CF1D9A-7A65-4853-9D09-65BC8CAFDF5A",1,"PLKR","Ebook Reader","5","16"
"286","B8D80643-23FE-47AD-AB83-8536E4F858EE",1,"PLL1","Cage","5","16"
"287","77B22B1B-0D03-4AA4-A7CC-280D03BE1D41",1,"PLL1F","Cage Oversize","5","16"
"288","7A74DAAA-7CCB-4D77-A07E-712CAB8ADBD8",1,"PLL2","Locked Stacks","5","16"
"289","0622EE3B-B751-4272-A51B-BFF7B546FBDE",1,"PLL2F","Locked Stacks Oversize","5","16"
"290","33791065-B4F1-4F9B-9447-738177BCC950",1,"PLLP","Locked Periodicals","5","16"
"291","B90C0239-94D9-4D19-8EA6-C37C018B004A",1,"PLM","Microforms","5","16"
"292","C6A62B46-5284-45F7-9E63-9E689A64D62A",1,"PLMB","Microform Guide","5","16"
"293","8E554221-E507-400C-8EAD-74354016DA9B",1,"PLMPI","Current Periodicals","5","16"
"294","237917B0-6AD9-4201-912F-68A646895857",1,"PLN","Newspapers","5","16"
"295","F2BF11B7-93FF-42AA-A3BA-0636FBB808FF",1,"PLP","Periodicals","5","16"
"296","9D9F1728-A1C8-4276-A4F6-D9E630F54534",1,"PLPI","Current Periodicals","5","16"
"297","DAE47D45-C9CA-4EFF-9DBC-241594C70B9C",1,"PLR","Reference","5","16"
"298","574A4275-9BDC-4B8A-BE75-27FC39109BE1",1,"PLR1","Atlas Case 1","5","16"
"299","F3F8AEEC-5FBF-420E-AD31-187521715889",1,"PLR1F","Atlas Case 1 Folio","5","16"
"300","3D4C2B4F-3BD6-4099-A6C9-5BE9070C10A7",1,"PLR2","Atlas Case 2","5","16"
"301","66871E08-4298-4133-BF99-5501FFF5F700",1,"PLRC","Reference CD-ROM","5","16"
"302","A2EF7437-7B91-413E-96AC-68AE2ECECC69",1,"PLRF","Reference Oversize","5","16"
"303","147D28BA-4C3B-4AA8-A758-39E942BAF3A9",1,"PLRQ","Reference","5","16"
"304","AEB6A82D-E95C-4622-B5B4-FDE1E406DEE4",1,"PLRR","Ready Reference","5","16"
"305","4B7B5EAE-568E-40B6-BE3F-38386C087559",1,"PLV","A-V","5","16"
"306","1BB0E170-DAF7-4D80-9040-8FA64A0761F5",1,"PLV1","A-V DVD","5","16"
"307","D20769EA-B0B6-4A85-B245-D7AD0EF75D5F",1,"PLV2","A-V Video cassette","5","16"
"308","405BBECE-F447-445B-84F5-AFD3400EAE0D",1,"PLV2L","A-V Video cassette Limited Circ.","5","16"
"309","099BD9E2-BBDB-4C6A-80F4-85DF515D3504",1,"PLV3","A-V Compact disc","5","16"
"310","E42DC6DC-1DAF-42F2-8114-21B21F268AF4",1,"PLV4","A-V Video disc","5","16"
"311","EEF08D57-2D80-4DB4-9543-ED4BC6397478",1,"PLV5","A-V Motion picture","5","16"
"312","A32BA328-CEA6-4F93-BBCE-85909FE5E709",1,"PLV6","A-V Sound cassette","5","16"
"313","F6B9F758-BFB8-4AA1-ABCE-3D9559F84781",1,"PLV7","A-V Sound disc","5","16"
"314","DA64C502-88CD-425C-88E9-A45B62427BE3",1,"PLV8","DevilDVD","5","16"
"315","5F6DFB33-A9ED-4FD4-8301-1CF7C2EDB312",1,"PLVD","A-V DVD Remote","5","16"
"316","6632FECC-8C16-4A27-A2EC-16360E89DDBF",1,"PLVH","A-V Headphones","5","16"
"317","0F2BA4B5-450F-4995-825D-F8986A95DA99",1,"PLVL","A-V Limited Circulation","5","16"
